State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Georgia,Worth County,20719,20554,82,236
Hawaii,Hawaii,1451911,1441553,3773,14648
Hawaii,Hawaii County,200746,202906,621,2358
Hawaii,Honolulu County,1013227,1000890,2559,9898
Hawaii,Kalawao County,82,82,0,0
Hawaii,Kauai County,73201,73454,162,764
Hawaii,Maui County,164655,164221,431,1628
Idaho,Idaho,1847772,1900923,4450,16918
Idaho,Ada County,497984,511931,1005,4135
Idaho,Adams County,4424,4625,10,44
Idaho,Bannock County,87177,88263,239,864
Idaho,Bear Lake County,6370,6545,25,82
Idaho,Benewah County,9576,9931,28,128
Idaho,Bingham County,48068,48876,127,442
Idaho,Blaine County,24327,24766,40,153
Idaho,Boise County,7647,8094,14,91
Idaho,Bonner County,47390,49491,112,549
Idaho,Bonneville County,124626,127930,278,1109
Idaho,Boundary County,12113,12561,42,162
Idaho,Butte County,2577,2654,12,25
Idaho,Camas County,1089,1139,2,9
Idaho,Canyon County,232714,243115,538,1980
Idaho,Caribou County,7015,7111,19,82
Idaho,Cassia County,24699,25164,58,214
Idaho,Clark County,792,792,2,2
Idaho,Clearwater County,8750,8895,37,130
Idaho,Custer County,4266,4428,11,47
Idaho,Elmore County,28668,28827,69,228
Idaho,Franklin County,14269,14666,28,92
Idaho,Fremont County,13404,13592,33,127
Idaho,Gem County,19258,19792,71,260
Idaho,Gooding County,15643,15772,54,174
Idaho,Idaho County,16561,17040,65,210
Idaho,Jefferson County,31055,32202,58,188
Idaho,Jerome County,24222,24662,54,181
Idaho,Kootenai County,172646,179789,463,1815
Idaho,Latah County,39611,40313,80,272
Idaho,Lemhi County,7948,8162,43,110
Idaho,Lewis County,3531,3715,14,42
Idaho,Lincoln County,5133,5282,11,46
Idaho,Madison County,52876,53881,31,196
Idaho,Minidoka County,21674,21955,66,192
Idaho,Nez Perce County,42088,42454,164,524
Idaho,Oneida County,4554,4611,16,30
Idaho,Owyhee County,11978,12336,35,136
Idaho,Payette County,25589,26350,62,291
Idaho,Power County,7879,7950,18,74
Idaho,Shoshone County,13189,13612,43,217
Idaho,Teton County,11731,12267,13,60
Idaho,Twin Falls County,90279,92243,292,981
Idaho,Valley County,11838,12241,27,98
Idaho,Washington County,10544,10898,41,126
Illinois,Illinois,12785245,12671469,32486,130319
Illinois,Adams County,65530,64954,232,942
Illinois,Alexander County,5168,5030,28,106
Illinois,Bond County,16663,16596,54,209
Illinois,Boone County,53326,53159,109,481
Illinois,Brown County,6217,6421,15,61
Illinois,Bureau County,33118,32883,153,456
Illinois,Calhoun County,4411,4369,13,81
Illinois,Carroll County,15664,15698,53,217
